"","Position","Track.Name","Artist","Streams","URL","country"
"31",31,"Otro Trago - Remix","Sech",89198,"https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL","Argentina"
"32",32,"Bellaquita","Dalex",87929,"https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ","Argentina"
"33",33,"Nicki Nicole: Bzrp Music Sessions, Vol. 13","Bizarrap",83150,"https://open.spotify.com/track/2S93hylQBYLndMnaJuso8S","Argentina"
"34",34,"MELÓN VINO","WOS",82398,"https://open.spotify.com/track/5uHAzGa4d9j35DEbhUwGhi","Argentina"
"35",35,"22","TINI",80928,"https://open.spotify.com/track/07L6tEZIfCX3GZAWCpGj0e","Argentina"
"36",36,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",78646,"https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL","Argentina"
"37",37,"Con Altura","ROSALÍA",78318,"https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM","Argentina"
"38",38,"Cuaderno","Dalex",77872,"https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6","Argentina"
"39",39,"Cómo estás","Ke Personajes",77820,"https://open.spotify.com/track/6bLvfGI2XeU5DTl8feuNrk","Argentina"
"40",40,"Don't Start Now","Dua Lipa",77605,"https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg","Argentina"
"41",41,"Que Mas Pues - Remix","Sech",77592,"https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD","Argentina"
"42",42,"Uniforme","Rich Music LTD",75224,"https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc","Argentina"
"43",43,"11 PM","Maluma",74545,"https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d","Argentina"
"44",44,"El Efecto","Rauw Alejandro",74264,"https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj","Argentina"
"45",45,"Pa Mí - Remix","Dalex",73995,"https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz","Argentina"
"46",46,"Tal Vez","Paulo Londra",70862,"https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI","Argentina"
"47",47,"C90","John C",69852,"https://open.spotify.com/track/1DJjAT62IgW7N3JjroyGKc","Argentina"
"48",48,"Si Se Da - Remix","Myke Towers",69452,"https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD","Argentina"
"49",49,"Desconocidos","Mau y Ricky",66718,"https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h","Argentina"
"50",50,"Calma - Remix","Pedro Capó",65460,"https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4","Argentina"
"51",51,"La Boca - Remix","Mau y Ricky",64559,"https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT","Argentina"
"52",52,"Fantasias - Unplugged","Rauw Alejandro",64303,"https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun","Argentina"
"53",53,"FRESCO","WOS",62991,"https://open.spotify.com/track/0blWPYAfbvpRLVHUcmqmmj","Argentina"
"54",54,"Fantasía","Ozuna",62178,"https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr","Argentina"
"55",55,"Adan y Eva","Paulo Londra",61761,"https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6","Argentina"
"56",56,"High","Maria Becerra",61574,"https://open.spotify.com/track/5vPtzdjJ9tm7XCoKDH22Gb","Argentina"
"57",57,"Blanco","J Balvin",61153,"https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc","Argentina"
"58",58,"Te Robaré","Nicky Jam",59566,"https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T","Argentina"
"59",59,"Con Calma","Daddy Yankee",58465,"https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m","Argentina"
"60",60,"Años Luz","Nicki Nicole",58428,"https://open.spotify.com/track/0BNtpLD6zsXJGroRtcixOE","Argentina"
"61",61,"Trueno: Bzrp Music Sessions, Vol. 16","Bizarrap",57965,"https://open.spotify.com/track/7ouulWlZPefmEIGYWNyiPH","Argentina"
"62",62,"Que Calor (with J Balvin & El Alfa)","Major Lazer",56515,"https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3","Argentina"
"63",63,"Fresko","Bhavi",56135,"https://open.spotify.com/track/2Zbw0nOYZoKU27sOYbrsv7","Argentina"
"64",64,"QUE PRETENDES","J Balvin",54658,"https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt","Argentina"
"65",65,"Frijo: Bzrp Music Sessions, Vol. 10","Bizarrap",53456,"https://open.spotify.com/track/5z2pkfNzSL9Ad87xcQQEdw","Argentina"
"66",66,"Un Año","Sebastian Yatra",53189,"https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0","Argentina"
"67",67,"Sigues Con El","Dimelo Flow",52248,"https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3","Argentina"
"68",68,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",51446,"https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx","Argentina"
"69",69,"No Soy Yo","Mesita",50983,"https://open.spotify.com/track/2tQpf521ZLKH2O22fB5GR9","Argentina"
"70",70,"Atrévete","Nicky Jam",49822,"https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj","Argentina"
"71",71,"Velitas","Darell",48820,"https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq","Argentina"
"72",72,"Qué Pena","Maluma",48722,"https://open.spotify.com/track/5099x34vBakWpGkHourFxP","Argentina"
"73",73,"Polimá Westcoast: Bzrp Music Sessions, Vol. 19","Bizarrap",48642,"https://open.spotify.com/track/5WFgOLufm9ZVXwVhFy6OoJ","Argentina"
"74",74,"La Cama","Lunay",47833,"https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1","Argentina"
"75",75,"Otro Trago","Sech",47808,"https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr","Argentina"
"76",76,"Cristina","Sebastian Yatra",47749,"https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k","Argentina"
"77",77,"Hasta Que Salga el Sol","Ozuna",47674,"https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl","Argentina"
"78",78,"Cuerpo en Venta","Noriel",47073,"https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7","Argentina"
"79",79,"Te Olvidaré","MYA",47057,"https://open.spotify.com/track/4jrZI0XdexLjrHlBwLbhzL","Argentina"
"80",80,"Wapo Traketero","Nicki Nicole",46910,"https://open.spotify.com/track/4cBX8xN4joiBKOMaBwZQQX","Argentina"
"81",81,"Imaginate","Rich Music LTD",46714,"https://open.spotify.com/track/29ShXDWDedEwZkYc8Du08N","Argentina"
"82",82,"Runaway","Sebastian Yatra",46380,"https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ","Argentina"
"83",83,"Trueno: Bzrp Freestyle Sessions, Vol. 6","Bizarrap",46280,"https://open.spotify.com/track/4jTKJOFxaqEcm558JYi4Dh","Argentina"
"84",84,"Memories","Maroon 5",45857,"https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM","Argentina"
"85",85,"Te Quemaste","Manuel Turizo",45183,"https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC","Argentina"
"86",86,"Por Eso Vine","Paulo Londra",45153,"https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu","Argentina"
"87",87,"La Boca","Mau y Ricky",44240,"https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3","Argentina"
"88",88,"Tengo 30 (feat. Duki, Cazzu, Neo Pistea & Tali Goya)","Khea",44100,"https://open.spotify.com/track/3R1yxKhYKoXqaztyQflEH8","Argentina"
"89",89,"ROXANNE","Arizona Zervas",43702,"https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK","Argentina"
"90",90,"Adore You","Harry Styles",43448,"https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7","Argentina"
"91",91,"Watermelon Sugar","Harry Styles",43264,"https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY","Argentina"
"92",92,"¿Qué Ha Pasao'?","Abraham Mateo",42572,"https://open.spotify.com/track/2zkVH2daHyjS51g7PRJFDn","Argentina"
"93",93,"DOLLAR","Becky G",42300,"https://open.spotify.com/track/2uhMYJq2TODWBuZhHRrdWy","Argentina"
"94",94,"bad guy","Billie Eilish",41750,"https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m","Argentina"
"95",95,"Me Gusta","Ciro y los Persas",41507,"https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf","Argentina"
"96",96,"Baila Conmigo (feat. Kelly Ruiz)","Dayvi",40013,"https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG","Argentina"
"97",97,"Uno más uno","DJ Alex",39795,"https://open.spotify.com/track/56HBkP5mBsUALQnstFiqIY","Argentina"
